# started 2026-08-15T18:43:38Z on ip-172-31-9-237
# time load procs threads fd_used fd_max conntrack ct_max mem_avail_mb tcp_estab tcp_tw sshd
2026-08-15T19:11:55Z 4.33 201 344 1686 9223372036854775807 615 1048576 14605 61 181 1
2026-08-15T19:12:00Z 4.39 204 351 1762 9223372036854775807 633 1048576 14590 93 140 1
2026-08-15T19:12:05Z 4.19 206 353 1789 9223372036854775807 401 1048576 14582 94 140 3
2026-08-15T19:12:10Z 3.86 181 320 1412 9223372036854775807 414 1048576 14689 2 189 3
2026-08-15T19:12:15Z 3.55 198 341 1637 9223372036854775807 467 1048576 14678 81 158 1
2026-08-15T19:12:20Z 3.43 198 341 1630 9223372036854775807 468 1048576 14684 81 157 1
2026-08-15T19:12:25Z 3.31 179 318 1379 9223372036854775807 470 1048576 14719 1 188 1
2026-08-15T19:12:30Z 3.05 198 341 1599 9223372036854775807 520 1048576 14701 81 190 1
2026-08-15T19:12:35Z 2.96 198 341 1599 9223372036854775807 523 1048576 14697 81 160 1
2026-08-15T19:12:40Z 2.88 177 316 1343 9223372036854775807 523 1048576 14730 1 158 1
2026-08-15T19:12:45Z 2.65 197 355 1583 9223372036854775807 606 1048576 14686 81 191 1
2026-08-15T19:12:51Z 4.04 198 357 1583 9223372036854775807 606 1048576 14664 81 155 1
2026-08-15T19:12:56Z 4.36 177 316 1343 9223372036854775807 607 1048576 14694 1 190 1
2026-08-15T19:13:01Z 4.01 202 345 1730 9223372036854775807 653 1048576 14563 62 191 3
2026-08-15T19:13:06Z 3.69 206 353 1806 9223372036854775807 439 1048576 14556 94 197 3
2026-08-15T19:13:11Z 3.55 204 351 1760 9223372036854775807 440 1048576 14566 93 147 1
2026-08-15T19:13:16Z 3.43 177 316 1345 9223372036854775807 440 1048576 14692 1 196 1
2026-08-15T19:13:21Z 3.15 179 318 1381 9223372036854775807 443 1048576 14702 1 194 1
2026-08-15T19:13:26Z 3.06 198 341 1633 9223372036854775807 493 1048576 14687 81 163 1
2026-08-15T19:13:31Z 2.98 198 341 1633 9223372036854775807 493 1048576 14687 81 163 1
2026-08-15T19:13:36Z 2.74 179 318 1383 9223372036854775807 497 1048576 14727 1 193 1
2026-08-15T19:13:41Z 2.52 197 340 1603 9223372036854775807 547 1048576 14701 81 162 1
2026-08-15T19:13:46Z 2.48 197 340 1603 9223372036854775807 547 1048576 14697 81 162 1
2026-08-15T19:13:51Z 2.44 178 329 1365 9223372036854775807 549 1048576 14722 1 161 1
2026-08-15T19:13:56Z 2.24 200 360 1631 9223372036854775807 635 1048576 14662 82 192 3
2026-08-15T19:14:01Z 3.66 201 361 1631 9223372036854775807 641 1048576 14645 82 156 3
2026-08-15T19:14:06Z 4.65 185 330 1524 9223372036854775807 428 1048576 14639 34 189 1
2026-08-15T19:14:11Z 4.28 203 347 1688 9223372036854775807 464 1048576 14615 61 186 1
2026-08-15T19:14:16Z 3.94 206 354 1757 9223372036854775807 483 1048576 14600 93 187 1
2026-08-15T19:14:21Z 3.78 206 355 1757 9223372036854775807 483 1048576 14599 93 137 1
2026-08-15T19:14:26Z 3.72 181 322 1379 9223372036854775807 486 1048576 14718 1 188 1
2026-08-15T19:14:31Z 3.42 200 345 1631 9223372036854775807 536 1048576 14696 81 189 1
2026-08-15T19:14:36Z 3.31 200 344 1631 9223372036854775807 536 1048576 14695 81 157 1
